sto_y_in_LiyCoO2,OCP_V
0.45,4.216325
0.455,4.205033
0.46,4.194436
0.465,4.184419
0.47,4.174893
0.475,4.165785
0.48,4.157041
0.485,4.148613
0.49,4.140466
0.495,4.132568
0.5,4.124895
0.505,4.117427
0.51,4.110147
0.515,4.103039
0.52,4.096093
0.525,4.089299
0.53,4.082647
0.535,4.076131
0.54,4.069745
0.545,4.063484
0.55,4.057343
0.555,4.051319
0.56,4.045408
0.565,4.039609
0.57,4.033917
0.575,4.028332
0.58,4.022851
0.585,4.017472
0.59,4.012195
0.595,4.007018
0.6,4.001939
0.605,3.996957
0.61,3.992071
0.615,3.987280
0.62,3.982583
0.625,3.977978
0.63,3.973464
0.635,3.969040
0.64,3.964705
0.645,3.960456
0.65,3.956293
0.655,3.952213
0.66,3.948214
0.665,3.944296
0.67,3.940454
0.675,3.936688
0.68,3.932995
0.685,3.929370
0.69,3.925813
0.695,3.922318
0.7,3.918883
0.705,3.915502
0.71,3.912172
0.715,3.908888
0.72,3.905644
0.725,3.902433
0.73,3.899250
0.735,3.896085
0.74,3.892930
0.745,3.889776
0.75,3.886612
0.755,3.883424
0.76,3.880198
0.765,3.876917
0.77,3.873563
0.775,3.870112
0.78,3.866537
0.785,3.862808
0.79,3.858886
0.795,3.854726
0.8,3.850272
0.805,3.845456
0.81,3.840192
0.815,3.834372
0.82,3.827855
0.825,3.820459
0.83,3.811938
0.835,3.801957
0.84,3.790042
0.845,3.775504
0.85,3.757299
0.855,3.733766
0.86,3.702090
0.865,3.657082
0.87,3.588028
0.875,3.468628
0.88,3.212492
