V_vs_Li,Q_mAh
0.0864586,0
0.0969375,0.0001259
0.0982114,0.0002517
0.0989872,0.0003776
0.0995557,0.0005034
0.0999502,0.0006292
0.100281,0.0007551
0.100551,0.0008809
0.100766,0.0010067
0.100805,0.0011326
0.10102,0.0012584
0.101184,0.0013842
0.101336,0.0015101
0.101474,0.0016359
0.101596,0.0017617
0.101711,0.0018876
0.101716,0.0020134
0.101816,0.0021393
0.10191,0.0022651
0.101987,0.0023909
0.102073,0.0025168
0.102165,0.0026426
0.102246,0.0027684
0.102338,0.0028943
0.102387,0.0030201
0.102471,0.0031459
0.102521,0.0032718
0.102597,0.0033976
0.102658,0.0035234
0.102703,0.0036493
0.102743,0.0037751
0.102803,0.003901
0.102867,0.0040268
0.10291,0.0041526
0.102959,0.0042785
0.102999,0.0044043
0.10305,0.0045301
0.103109,0.004656
0.103131,0.0047818
0.103177,0.0049076
0.10319,0.0050335
0.103121,0.0051593
0.10318,0.0052851
0.103186,0.005411
0.103218,0.0055368
0.103262,0.0056626
0.103303,0.0057885
0.103341,0.0059143
0.103379,0.0060401
0.10342,0.006166
0.103426,0.0062918
0.103383,0.0064177
0.103409,0.0065435
0.103447,0.0066693
0.103472,0.0067952
0.103505,0.006921
0.103531,0.0070468
0.103552,0.0071727
0.103584,0.0072985
0.103533,0.0074243
0.103577,0.0075502
0.103591,0.007676
0.103622,0.0078019
0.103641,0.0079277
0.103575,0.0080535
0.103591,0.0081794
0.103617,0.0083052
0.103631,0.008431
0.103651,0.0085569
0.103663,0.0086827
0.103689,0.0088085
0.103664,0.0089344
0.103677,0.0090602
0.103688,0.009186
0.103688,0.0093119
0.103708,0.0094377
0.103716,0.0095636
0.103737,0.0096894
0.103741,0.0098152
0.103745,0.0099411
0.103756,0.0100669
0.103779,0.0101927
0.103782,0.0103186
0.103796,0.0104444
0.103814,0.0105702
0.103818,0.0106961
0.103824,0.0108219
0.103837,0.0109478
0.103834,0.0110736
0.103856,0.0111994
0.103779,0.0113253
0.103803,0.0114511
