V_vs_Li,Q_mAh
0.0477189,0
0.0517469,0.0002136
0.0528957,0.0004271
0.0538532,0.0006407
0.0547276,0.0008542
0.055539,0.0010678
0.056317,0.0012814
0.0570616,0.0014949
0.0577832,0.0017085
0.0584796,0.001922
0.0591835,0.0021356
0.0598383,0.0023491
0.0605103,0.0025627
0.0611451,0.0027762
0.061783,0.0029898
0.0624015,0.0032033
0.063,0.0034169
0.0636252,0.0036305
0.0642215,0.003844
0.0647822,0.0040576
0.065377,0.0042711
0.0659281,0.0044847
0.0665066,0.0046982
0.0670547,0.0049118
0.0675768,0.0051253
0.0681004,0.0053389
0.0686329,0.0055525
0.0691625,0.005766
0.069692,0.0059796
0.0701874,0.0061931
0.0706873,0.0064067
0.0711768,0.0066202
0.0716529,0.0068338
0.0721113,0.0070473
0.0725956,0.0072609
0.0730339,0.0074745
0.073493,0.007688
0.0739328,0.0079016
0.0743696,0.0081151
0.0748028,0.0083287
0.0752389,0.0085422
0.075689,0.0087558
0.076074,0.0089693
0.0764893,0.0091829
0.0768831,0.0093964
0.0772814,0.00961
0.0776759,0.0098236
0.0780557,0.0100371
0.0784717,0.0102507
0.0788129,0.0104642
0.0791733,0.0106778
0.0795471,0.0108913
0.0799031,0.0111049
0.0802584,0.0113184
0.080604,0.011532
0.0809607,0.0117456
0.0813152,0.0119591
0.0816364,0.0121727
0.0819642,0.0123862
0.0822861,0.0125998
0.0826272,0.0128133
0.0829358,0.0130269
0.0832769,0.0132404
0.0835543,0.013454
0.0838881,0.0136676
0.0841921,0.0138811
0.0844754,0.0140947
0.084781,0.0143082
0.0850888,0.0145218
0.0853832,0.0147353
0.0856673,0.0149489
0.0859373,0.0151624
0.0862428,0.015376
0.0865194,0.0155895
0.0867968,0.0158031
0.0870727,0.0160167
0.087339,0.0162302
0.0876245,0.0164438
0.087916,0.0166573
0.0881511,0.0168709
0.0884337,0.0170844
0.0886918,0.017298
0.0889513,0.0175115
0.0892035,0.0177251
0.0894765,0.0179387
0.0897145,0.0181522
0.0899889,0.0183658
0.0902418,0.0185793
0.0904955,0.0187929
0.0907402,0.0190064
0.0909813,0.01922
0.0912238,0.0194335
0.0914693,0.0196471
0.0917222,0.0198607
0.0919484,0.0200742
0.0921961,0.0202878
0.092449,0.0205013
0.0926611,0.0207149
0.0929192,0.0209284
0.0931543,0.021142
0.0933872,0.0213555
0.0936067,0.0215691
0.0938493,0.0217826
0.0940732,0.0219962
0.0942942,0.0222098
0.0945286,0.0224233
0.0947719,0.0226369
0.0949855,0.0228504
0.095208,0.023064
0.0954193,0.0232775
0.09565,0.0234911
0.0958725,0.0237046
0.0960943,0.0239182
0.0963308,0.0241318
0.0965392,0.0243453
0.0967484,0.0245589
0.0969724,0.0247724
0.0971852,0.024986
0.0974107,0.0251995
0.0976273,0.0254131
0.0978512,0.0256266
0.0980493,0.0258402
0.0982732,0.0260537
0.0984935,0.0262673
0.098699,0.0264809
0.0989022,0.0266944
0.0991321,0.026908
0.0993331,0.0271215
0.099543,0.0273351
0.099738,0.0275486
0.0999449,0.0277622
0.100153,0.0279757
0.100368,0.0281893
0.100569,0.0284028
0.100764,0.0286164
0.100984,0.02883
0.101191,0.0290435
0.101402,0.0292571
0.101607,0.0294706
0.10179,0.0296842
0.101999,0.0298977
0.102202,0.0301113
0.102411,0.0303248
0.102611,0.0305384
0.1028,0.030752
0.102996,0.0309655
0.103201,0.0311791
0.103393,0.0313926
0.103602,0.0316062
0.103815,0.0318197
0.103994,0.0320333
0.104196,0.0322468
0.104407,0.0324604
0.104603,0.0326739
0.104795,0.0328875
0.104984,0.0331011
0.105177,0.0333146
0.10538,0.0335282
0.105556,0.0337417
0.105771,0.0339553
0.105943,0.0341688
0.106141,0.0343824
0.106345,0.0345959
0.106534,0.0348095
0.106736,0.0350231
0.106918,0.0352366
0.107123,0.0354502
0.107295,0.0356637
0.107511,0.0358773
0.10768,0.0360908
0.107875,0.0363044
0.108079,0.0365179
0.108244,0.0367315
0.108421,0.036945
0.108628,0.0371586
0.10882,0.0373722
0.10901,0.0375857
0.109188,0.0377993
0.109393,0.0380128
0.109572,0.0382264
0.109763,0.0384399
0.109931,0.0386535
0.110142,0.038867
0.110324,0.0390806
0.110491,0.0392942
0.110667,0.0395077
0.110864,0.0397213
0.111051,0.0399348
0.111229,0.0401484
0.11142,0.0403619
0.111618,0.0405755
0.111791,0.040789
0.111963,0.0410026
0.112162,0.0412162
0.112336,0.0414297
0.112521,0.0416433
0.112704,0.0418568
0.112885,0.0420704
0.113082,0.0422839
0.113268,0.0424975
0.113439,0.042711
0.113612,0.0429246
0.113796,0.0431381
0.113972,0.0433517
0.114155,0.0435653
0.114321,0.0437788
0.114508,0.0439924
0.114693,0.0442059
0.114858,0.0444195
0.115064,0.044633
0.115215,0.0448466
0.11539,0.0450601
0.115585,0.0452737
0.115761,0.0454873
0.115925,0.0457008
0.116093,0.0459144
0.116287,0.0461279
0.11647,0.0463415
0.11664,0.046555
0.116841,0.0467686
0.116989,0.0469821
0.11718,0.0471957
0.11735,0.0474092
0.117513,0.0476228
0.117702,0.0478364
0.117879,0.0480499
0.118056,0.0482635
0.118231,0.048477
0.118389,0.0486906
0.118573,0.0489041
0.118756,0.0491177
0.11892,0.0493312
0.119077,0.0495448
0.11927,0.0497584
0.119439,0.0499719
0.119618,0.0501855
0.11978,0.050399
0.119963,0.0506126
0.120127,0.0508261
0.120291,0.0510397
0.120487,0.0512532
0.120651,0.0514668
0.120826,0.0516803
0.120982,0.0518939
0.121166,0.0521075
0.121336,0.052321
0.121506,0.0525346
0.121676,0.0527481
0.121845,0.0529617
0.122017,0.0531752
0.122164,0.0533888
0.122337,0.0536023
0.122531,0.0538159
0.122682,0.0540294
0.122846,0.054243
0.123025,0.0544566
0.123183,0.0546701
0.123352,0.0548837
0.123513,0.0550972
0.123691,0.0553108
0.123853,0.0555243
0.124043,0.0557379
0.12419,0.0559514
0.124364,0.056165
0.12454,0.0563786
0.124697,0.0565921
0.124872,0.0568057
0.12502,0.0570192
0.125196,0.0572328
0.125371,0.0574463
0.12555,0.0576599
0.125692,0.0578734
0.125872,0.058087
0.126024,0.0583005
0.126202,0.0585141
0.126363,0.0587277
0.126522,0.0589412
0.126701,0.0591548
0.126843,0.0593683
0.127005,0.0595819
0.127185,0.0597954
0.127357,0.060009
0.127506,0.0602225
0.127673,0.0604361
0.127835,0.0606496
0.128004,0.0608632
0.128188,0.0610768
0.128336,0.0612903
0.128511,0.0615039
0.128656,0.0617174
0.128826,0.061931
0.128997,0.0621445
0.129166,0.0623581
0.129301,0.0625716
0.129464,0.0627852
0.129639,0.0629987
0.129786,0.0632123
0.129936,0.0634259
0.130128,0.0636394
0.130241,0.063853
0.130463,0.0640665
0.130589,0.0642801
0.130784,0.0644936
0.130916,0.0647072
0.131084,0.0649207
0.131244,0.0651343
0.131397,0.0653479
0.131571,0.0655614
0.13172,0.065775
0.131895,0.0659885
0.132049,0.0662021
0.132197,0.0664156
0.132366,0.0666292
0.132525,0.0668427
0.132688,0.0670563
0.132835,0.0672699
0.132995,0.0674834
0.133157,0.067697
0.13332,0.0679105
0.133481,0.0681241
0.133633,0.0683376
0.133812,0.0685512
0.13395,0.0687647
0.13411,0.0689783
0.134274,0.0691918
0.134435,0.0694054
0.134589,0.069619
0.134749,0.0698325
0.134906,0.0700461
0.135064,0.0702596
0.135218,0.0704732
0.135361,0.0706867
0.135536,0.0709003
0.135697,0.0711138
0.135857,0.0713274
0.136005,0.0715409
0.136161,0.0717545
0.136325,0.0719681
0.136469,0.0721816
0.136624,0.0723952
0.136789,0.0726087
0.13694,0.0728223
0.137106,0.0730358
0.137245,0.0732494
0.137401,0.0734629
0.137562,0.0736765
0.137729,0.0738901
0.137874,0.0741036
0.138034,0.0743172
0.138177,0.0745307
0.138326,0.0747443
0.138485,0.0749578
0.138659,0.0751714
0.1388,0.0753849
0.138941,0.0755985
0.139102,0.0758121
0.139259,0.0760256
0.139418,0.0762392
0.139573,0.0764527
0.139713,0.0766663
0.139878,0.0768798
0.140029,0.0770934
0.140174,0.0773069
0.140326,0.0775205
0.140495,0.077734
0.140646,0.0779476
0.140805,0.0781612
0.140953,0.0783747
0.141085,0.0785883
0.141269,0.0788018
0.141411,0.0790154
0.141576,0.0792289
0.141717,0.0794425
0.141867,0.079656
0.142033,0.0798696
0.142168,0.0800832
0.142311,0.0802967
0.142474,0.0805103
0.142628,0.0807238
0.142763,0.0809374
0.142917,0.0811509
0.143094,0.0813645
0.143223,0.081578
0.143396,0.0817916
0.143523,0.0820052
0.143684,0.0822187
0.143848,0.0824323
0.143967,0.0826458
0.14414,0.0828594
0.144288,0.0830729
0.144418,0.0832865
0.144596,0.0835
0.144731,0.0837136
0.144886,0.0839271
0.145019,0.0841407
0.145176,0.0843543
0.145326,0.0845678
0.145481,0.0847814
0.145627,0.0849949
0.145769,0.0852085
0.14593,0.085422
0.146066,0.0856356
0.146204,0.0858491
0.14638,0.0860627
0.14651,0.0862763
0.146681,0.0864898
0.146821,0.0867034
0.146968,0.0869169
0.147097,0.0871305
0.147274,0.087344
0.147405,0.0875576
0.147553,0.0877711
0.1477,0.0879847
0.147849,0.0881982
0.148015,0.0884118
0.148148,0.0886254
0.148294,0.0888389
0.14844,0.0890525
