V_vs_Li,Q_mAh
0.0461118,0
0.0496237,0.0002283
0.0505915,0.0004565
0.0513137,0.0006848
0.0518743,0.0009131
0.0523875,0.0011414
0.0527738,0.0013697
0.053169,0.001598
0.0534909,0.0018263
0.0538194,0.0020546
0.0540952,0.0022829
0.0543333,0.0025112
0.0546417,0.0027395
0.0548182,0.0029678
0.0551059,0.0031961
0.0552958,0.0034244
0.0555405,0.0036527
0.055783,0.003881
0.0559913,0.0041093
0.0561218,0.0043376
0.0563399,0.0045659
0.0565467,0.0047942
0.0567692,0.0050225
0.0569264,0.0052508
0.0571111,0.0054791
0.0573313,0.0057074
0.0575478,0.0059357
0.0577028,0.006164
0.0578993,0.0063923
0.0580751,0.0066206
0.0582315,0.0068489
0.0584265,0.0070772
0.0586164,0.0073055
0.0588084,0.0075338
0.0590168,0.0077621
0.0591844,0.0079904
0.0593624,0.0082186
0.0595811,0.0084469
0.0597257,0.0086752
0.0599452,0.0089035
0.0601202,0.0091318
0.0602974,0.0093601
0.0604154,0.0095884
0.060603,0.0098167
0.0607943,0.010045
0.0609849,0.0102733
0.0611895,0.0105016
0.0613378,0.0107299
0.0615165,0.0109582
0.0617205,0.0111865
0.0618747,0.0114148
0.0620549,0.0116431
0.0622432,0.0118714
0.0623967,0.0120997
0.0625273,0.012328
0.0627134,0.0125563
0.0629477,0.0127846
0.0630752,0.0130129
0.0633051,0.0132412
0.0634772,0.0134695
0.0636173,0.0136978
0.0638168,0.0139261
0.0639399,0.0141544
0.0641534,0.0143827
0.0642884,0.014611
0.0645049,0.0148393
0.0646836,0.0150676
0.0648164,0.0152959
0.0650173,0.0155242
0.0651708,0.0157525
0.0653414,0.0159808
0.0655097,0.0162091
0.0657188,0.0164374
0.0658382,0.0166657
0.0660281,0.016894
0.0662068,0.0171223
0.0663899,0.0173506
0.066539,0.0175789
0.0666576,0.0178072
0.0668408,0.0180355
0.0670099,0.0182637
0.067173,0.018492
0.0673421,0.0187203
0.0674896,0.0189486
0.0676617,0.0191769
0.0678589,0.0194052
0.0680525,0.0196335
0.0681941,0.0198618
0.068315,0.0200901
0.0685411,0.0203184
0.0686976,0.0205467
0.0688311,0.020775
0.0689898,0.0210033
0.0691692,0.0212316
0.0693227,0.0214599
0.0694962,0.0216882
